"name","nok","usd","sector","ownership","country","id","type","voting"
"Celestica Inc","114466782","12980595","Technology","0.93","Canada","656","equities","0.2"
"Cerence Inc","204092561","23144207","Technology","0.77","United States","7647","equities","0.77"
"Ceridian HCM Holding Inc","167574594","19003050","Technology","0.12","United States","7648","equities","0.12"
"Change Healthcare Inc","480980394","54543437","Technology","0.82","United States","7655","equities","0.82"
"Check Point Software Technologies Ltd","858642228","97370494","Technology","0.63","Israel","7661","equities","0.63"
"Cherry AG","16729997","1897191","Technology","0.28","Germany","1879","equities","0.28"
"Cint Group AB","362161334","41069292","Technology","1.46","Sweden","5915","equities","1.46"
"Cirrus Logic Inc","454523071","51543163","Technology","0.98","United States","7685","equities","0.98"
"Citrix Systems Inc","80470348","9125381","Technology","0.08","United States","7690","equities","0.08"
"Clarivate PLC","698066322","79161099","Technology","0.49","Jersey","7692","equities","0.49"
"Clear Secure Inc","10881797","1234002","Technology","0.03","United States","7696","equities","0.01"
"Cloudflare Inc","2817873823","319548419","Technology","0.76","United States","7703","equities","0.32"
"Cognizant Technology Solutions Corp","4012719136","455044525","Technology","0.98","United States","7715","equities","0.98"
"Cognyte Software Ltd","79112533","8971404","Technology","0.87","Israel","7716","equities","0.87"
"ComArch SA","86422535","9800362","Technology","2.7","Poland","4903","equities","1.45"
"Comet Holding AG","603499023","68437116","Technology","2.39","Switzerland","6082","equities","2.39"
"CommVault Systems Inc","240622637","27286737","Technology","0.87","United States","7734","equities","0.87"
"Computacenter PLC","481347741","54585095","Technology","1.21","United Kingdom","6955","equities","1.21"
"Concentrix Corp","586782797","66541487","Technology","0.71","United States","7739","equities","0.71"
"Confluent Inc","6807110","771930","Technology","0","United States","7740","equities","0"
"Consensus Cloud Solutions Inc","71600259","8119508","Technology","0.7","United States","7742","equities","0.7"
"Constellation Software Inc/Canada","3030271696","343634453","Technology","0.87","Canada","664","equities","0.87"
"Corning Inc","2428473057","275390161","Technology","0.87","United States","7755","equities","0.87"
"Coupa Software Inc","1225041924","138920418","Technology","1.18","United States","7763","equities","1.18"
"Covetrus Inc","265839581","30146353","Technology","1.1","United States","7767","equities","1.1"
"Crowdstrike Holdings Inc","3018439322","342292655","Technology","0.73","United States","7775","equities","0.4"
"Cy4gate SPA","47071431","5337926","Technology","2.54","Italy","2836","equities","2.54"
"CyberArk Software Ltd","1417799521","160779234","Technology","2.33","Israel","7794","equities","2.33"
"CyberOptics Corp","3239403","367350","Technology","0.11","United States","7795","equities","0.11"
"Cyberoo SpA","11415267","1294498","Technology","1.55","Italy","2837","equities","1.55"
"DXC Technology Co","802247324","90975281","Technology","1.12","United States","7863","equities","1.12"
"Darktrace PLC","75091677","8515437","Technology","0.21","United Kingdom","6965","equities","0.21"
"Dassault Systemes SE","4170378055","472923132","Technology","0.6","France","1713","equities","0.4"
"Datadog Inc","3194901176","362303525","Technology","0.65","United States","7803","equities","0.25"
"Datawalk SA","59337112","6728861","Technology","2.46","Poland","4908","equities","2.14"
"Defence Tech Holding SpA","16412104","1861142","Technology","1.1","Italy","2843","equities","1.1"
"Deliveroo PLC","248524584","28182822","Technology","0.53","United Kingdom","6969","equities","0.26"
"Dell Technologies Inc","1328035227","150599915","Technology","0.35","United States","7812","equities","0.05"
"Descartes Systems Group Inc/The","623668353","70724329","Technology","1.01","Canada","668","equities","1.01"
"Digital Turbine Inc","304708133","34554067","Technology","0.59","United States","7824","equities","0.59"
"Digital Value SpA","318172899","36080979","Technology","2.79","Italy","2846","equities","2.79"
"DigitalOcean Holdings Inc","568682679","64488924","Technology","0.74","United States","7826","equities","0.74"
"Diodes Inc","388157128","44017229","Technology","0.89","United States","7830","equities","0.89"
"DiscoverIE Group PLC","72754901","8250445","Technology","0.62","United Kingdom","6976","equities","0.62"
"DocuSign Inc","2180127251","247227612","Technology","0.82","United States","7837","equities","0.82"
"Dolby Laboratories Inc","493268310","55936894","Technology","0.58","United States","7838","equities","0.14"
"DoorDash Inc","1125853254","127672369","Technology","0.25","United States","7845","equities","0.09"
"Dropbox Inc","82725373","9381102","Technology","0.1","United States","7855","equities","0.03"
"Duck Creek Technologies Inc","109967620","12470388","Technology","0.31","United States","7857","equities","0.31"
"Dun & Bradstreet Holdings Inc","318950441","36169153","Technology","0.41","United States","7860","equities","0.41"
"Dye & Durham Ltd","114617943","12997737","Technology","0.54","Canada","672","equities","0.54"
"Dynatrace Inc","886610172","100542074","Technology","0.58","United States","7865","equities","0.58"
"EPAM Systems Inc","2862602811","324620710","Technology","0.86","United States","7915","equities","0.86"
"Ebix Inc","58478168","6631456","Technology","0.7","United States","7876","equities","0.7"
"Econocom Group SA/NV","105971892","12017270","Technology","1.31","Belgium","401","equities","1.03"
"Elastic NV","763322596","86561196","Technology","0.76","Netherlands","7887","equities","0.76"
"Elmos Semiconductor SE","40495724","4592237","Technology","0.39","Germany","1910","equities","0.39"
"Endava PLC","55349662","6276682","Technology","0.07","United Kingdom","6987","equities","0.02"
"Enea AB","216045","24500","Technology","0","Sweden","5931","equities","0"
"Enfusion Inc","91524720","10378953","Technology","0.44","United States","7906","equities","0.44"
"Enghouse Systems Ltd","148760021","16869467","Technology","0.79","Canada","679","equities","0.79"
"Entegris Inc","1690764460","191733606","Technology","1.02","United States","7911","equities","1.02"
"Envestnet Inc","309304182","35075262","Technology","0.81","United States","7913","equities","0.81"
"Esker SA","155882900","17677205","Technology","0.73","France","1723","equities","0.63"
"Esprinet SpA","32340851","3667470","Technology","0.49","Italy","2853","equities","0.49"
"Eurotech SpA","78143518","8861517","Technology","4.34","Italy","2854","equities","4.34"
"Everbridge Inc","182811357","20730907","Technology","0.8","United States","7937","equities","0.8"
"Exclusive Networks SA","219392309","24879207","Technology","1.27","France","1731","equities","1.27"
"F-Secure Oyj","137201308","15558703","Technology","1.74","Finland","1613","equities","1.74"
"F5 Inc","1294710399","146820861","Technology","0.98","United States","7958","equities","0.98"
"FD Technologies PLC","125828671","14269039","Technology","1.88","United Kingdom","6996","equities","1.88"
"Fabasoft AG","19142775","2170801","Technology","0.49","Austria","351","equities","0.49"
"Fastly Inc","237923070","26980605","Technology","0.6","United States","7964","equities","0.35"
"Fingerprint Cards AB","610886","69275","Technology","0.01","Sweden","5941","equities","0.01"
"Five9 Inc","801921959","90938385","Technology","0.97","United States","7995","equities","0.97"
"Fiverr International Ltd","237313024","26911426","Technology","0.65","Israel","7996","equities","0.65"
"Flex Ltd","802236741","90974081","Technology","1.05","Singapore","7999","equities","1.05"
"FormFactor Inc","327172208","37101506","Technology","1.04","United States","8012","equities","1.04"
"Fortinet Inc","3145704773","356724626","Technology","0.61","United States","8015","equities","0.61"
"Fortnox AB","129002251","14628925","Technology","0.37","Sweden","5942","equities","0.37"
"Freshworks Inc","33541779","3803656","Technology","0.06","United States","8028","equities","0.01"
